관광지명,Group1,Group1_tag,group1_1,group1_1_tag,group1_2,group1_2_tag,Group2,Group2_tag,group2_1,group2_1_tag,group2_2,group2_2_tag,Group3,Group3_tag,group3_1,group3_1_tag,group3_2,group3_2_tag,Group4,Group4_tag,group4_1,group4_1_tag,group4_2,group4_2_tag,group4_3,group4_3_tag,Group5,Group5_tag,group5_1,group5_1_tag,group5_2,group5_2_tag
스테이지 버거,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '라떼', '식당', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '아메리카노', '카페라떼', '바닐라']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
스팅그레이,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '라떼', '식당', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '아메리카노', '카페라떼', '바닐라']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
슬로보트,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
식전당포,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
신화테마파크,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '테마', '어린이', '안전']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마', '어린이']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
심헌갤러리,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '박물관', '미술', '문화']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '문화', '박물관', '미술']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
아르떼뮤지엄,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '박물관', '테마', '미술', '문화']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '문화', '테마', '박물관', '미술']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
아스쿰,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
아우아우,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
애월더선셋,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '라떼', '식당', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '아메리카노', '카페라떼', '바닐라']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
애월오누이,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
야크마을,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
양가형제,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['식당', '카페', '동반', '치즈']",1.0,"['동반', '카페', '식당']",0.0,
양가형제노형,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
어반정글 부얀트무드,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
어반정글그레이밤부,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
에코랜드 테마파크,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '테마', '어린이', '겨울']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마', '어린이']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
엘파소,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '라떼', '식당', '동반', '음식', '카페라떼', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '카페라떼', '바닐라']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
오데뜨,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
오멍가멍 애견카페&호텔,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '관광지', '식당', '관광', '동반', '아메리카노']",1.0,"['카페', '식당', '아메리카노', '관광', '관광지']",0.0,"['관광', '관광지']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
오버더센스,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반', '아메리카노']",1.0,"['카페', '식당', '아메리카노']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
올디벗구디,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '라떼', '식당', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '아메리카노', '카페라떼', '바닐라']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
와랑식탁,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
외도339,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '라떼', '식당', '동반', '음식', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '바닐라']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
요람,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '관광지', '식당', '관광', '동반']",1.0,"['카페', '식당', '관광', '관광지']",0.0,"['관광', '관광지']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
요우르,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
"우연히,그곳",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '라떼', '식당', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '아메리카노', '카페라떼', '바닐라']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
월정조용한카페앤펍,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '라떼', '식당', '동반']",1.0,"['카페', '식당', '라떼']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
유동룡미술관,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['관광지', '관광', '미술', '문화']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '문화', '미술']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
이너프,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '라떼', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식', '라떼']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
이상한 나라의 앨리스,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '테마', '사계절']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
이중섭미술관,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '문화', '겨울']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '무장애', '문화', '박물관', '미술']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
인스밀,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
인터포레스트,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
일출랜드,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '동반', '무장애', '테마', '안전']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주공룡랜드[휴장중],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '테마', '어린이']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마', '어린이']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주기와,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반', '음식', '아메리카노']",1.0,"['카페', '식당', '음식', '아메리카노']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주다원 녹차미로공원,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['관광지', '관광', '동반', '테마', '어린이']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '테마', '어린이']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주댕댕스푼,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주돌문화공원,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '테마', '겨울']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주돌창고,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '라떼', '식당', '관광', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '아메리카노', '카페라떼', '바닐라', '관광']",0.0,['관광'],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주러브랜드,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '테마']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주만주,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
